sha,time_ms,time_pct,space_mb,space_pct,folder,difficulty
963495914d931d8764d24dbfd1b6839c7ec596f7,51,34.03,72.4,23.64,0044-wildcard-matching,Hard
42f51f1b5ccb3c447fb5da8c702515edc40d0ebe,0,100,54.7,89.17,0042-trapping-rain-water,Hard
155915c3df124a568326e58ffc5a7f120887a449,1,97.63,61.8,89.3,0041-first-missing-positive,Hard
e9985719f6aaec6510aac5c2c3dd5acb12306206,450,58.42,57.1,52.51,0037-sudoku-solver,Hard
9327b016614f758e422507436e7b299ff46e4877,8,16.93,58.6,20.15,0032-longest-valid-parentheses,Hard
0a5b63fde3ead84da2d4e0f4d6ac2632b41baef1,2244,20.29,64.6,28.84,0030-substring-with-concatenation-of-all-words,Hard
02d687c01b83f7177f0303ff0b7f9f36a307b6b3,0,100,58.2,84.5,0025-reverse-nodes-in-k-group,Hard
cf11e8291f5a99f9a290cea8cab72bb8a3004069,10,59.02,61.9,78.65,0023-merge-k-sorted-lists,Hard
23acbe4b38225f344927c4d843dc91c988b7fb3a,12,44.08,59,22.22,0010-regular-expression-matching,Hard
cd8ebcbb93db11b1f29483c656e0200a2ed32d1a,2,88.91,58.8,58.59,0004-median-of-two-sorted-arrays,Hard
a7d23b72b306dfa6f1d761f8dabe3c0b0bb9079d,11,92,57.8,5.62,0016-3sum-closest,Medium
9f433b55f295a1da850e0cb6942b1367a6978491,34,76.82,73.2,26.64,0015-3sum,Medium
6231144d5d381146767acc5f34cf153537a321cd,2,97.79,59.6,98.66,0012-integer-to-roman,Medium
80255903ef71f8517e29c9010c441b48cae18999,4,17.5,60,99.89,0011-container-with-most-water,Medium
749925eb6b3eeaf840754c195f3c7e30817c2525,2,52.57,55.2,97.55,0008-string-to-integer-atoi,Medium
17ba2ad4e96b550d47332ea3636e7d1baf4821da,52,47.43,55.7,39.6,0007-reverse-integer,Medium
1f6c5ed58a2b60f967955884139245e264ae5bc1,7,49.85,57.6,86.79,0006-zigzag-conversion,Medium
e5b1df88d48bf655095e7706372de8ba390a170b,19,78.42,57.5,51.48,0005-longest-palindromic-substring,Medium
be7e3fad5ffe3186945a7e961c114045784c8dc2,4,89.65,58.2,56.13,0003-longest-substring-without-repeating-characters,Medium
f4f11ec74330eb0de3a7eab7a84356d16742292a,2,85.98,62.3,15.76,0002-add-two-numbers,Medium
3fb07b734b5a8ac666e3ba3ab27472b2038870a7,0,100,54.1,33.23,0035-search-insert-position,Easy
6605a23eebb2a2f9903578ea54530ebed00a62aa,0,100,53.6,69.53,0028-find-the-index-of-the-first-occurrence-in-a-string,Easy
be789fc489e49d3b52d530ed50b6842714cf7679,0,100,54,30.84,0027-remove-element,Easy
8980085411a41f4594e25e3611eb683d17b8aded,0,100,57.4,66.7,0026-remove-duplicates-from-sorted-array,Easy
b27b1a83cbd96e030cbb6220599345ffee260959,1,40.24,58.2,20.62,0021-merge-two-sorted-lists,Easy
4046c499a1249077c08dab84aceb3d29315f2068,0,100,54.5,88.34,0020-valid-parentheses,Easy
fb019b59792251eda6ebe92157af1af88e4322ad,0,100,53.4,89.89,0014-longest-common-prefix,Easy
5ede2e55deca1d27f9419230c8efdb196717efa6,2,99.04,60.6,73.51,0013-roman-to-integer,Easy
4c6bed4e98fc03e76aabad92490e58d733589a68,11,26,65.9,7.09,0009-palindrome-number,Easy
b0f5b8a6867b8816ff4d34cd8200e516ad5ce852,1,88.09,58.7,5.11,0001-two-sum,Easy